JANUARY 2026 PRO TRIAL CAMPAIGN - FINANCIAL MODEL (14-DAY TRIAL),,,,,,,,
Campaign Period,Jan 1-31 2026,,,,,,,
Trial Offer,14-Day Pro Trial ($20/mo value),,,,,,,
Last Updated,=TODAY(),,,,,,,
,,,,,,,,,
EXECUTIVE SUMMARY - SCENARIO COMPARISON,,,,,,,,,
Scenario,Signups,API Cost,Conversion Rate,Conversions,Year 1 Revenue,Gross Profit,ROI,Payback (months)
Conservative,50,"$175",10%,=ROUND(B8*D8,0),=E8*$B$26*(1-$B$34),=F8-C8,=G8/C8,=C8/(F8/12)
Baseline,100,"$350",12%,=ROUND(B9*D9,0),=E9*$B$26*(1-$B$34),=F9-C9,=G9/C9,=C9/(F9/12)
Growth,200,"$700",12%,=ROUND(B10*D10,0),=E10*$B$26*(1-$B$34),=F10-C10,=G10/C10,=C10/(F10/12)
Aggressive,300,"$1,050",14%,=ROUND(B11*D11,0),=E11*$B$26*(1-$B$34),=F11-C11,=G11/C11,=C11/(F11/12)
,,,,,,,,,
COMPARISON: 14-DAY vs 30-DAY TRIAL,,,,,,,,,
Metric,14-Day Trial,30-Day Trial,Difference,Winner,,,,,
Cost per user,"$3.50","$5.00",-30%,14-Day ✅,,,,,
Conversion rate,12%,8%,+50%,14-Day ✅,,,,,
Conversions (100 signups),12,8,+4 users,14-Day ✅,,,,,
Year 1 Revenue (100 users),"$2,880","$1,920","+$960",14-Day ✅,,,,,
Total Cost (100 users),"$350","$500",-$150,14-Day ✅,,,,,
ROI,723%,284%,+439%,14-Day ✅,,,,,
Payback Period,0.7 mo,1.6 mo,-56%,14-Day ✅,,,,,
,,,,,,,,,
COST BREAKDOWN,,,,,,,,,
Category,Conservative,Baseline,Growth,Aggressive,,,,,
Expected Signups,50,100,200,300,,,,,
Trial Duration (days),14,14,14,14,,,,,
Trial Tier,Pro,Pro,Pro,Pro,,,,,
,,,,,,,,,
API COSTS (14-Day Usage Pattern),,,,,,,,,
Claude API (60% of gens),=B24*$B$25*0.6,=C24*$B$25*0.6,=D24*$B$25*0.6,=E24*$B$25*0.6,,,,,
OpenAI API (40% of gens),=B24*$B$25*0.4,=C24*$B$25*0.4,=D24*$B$25*0.4,=E24*$B$25*0.4,,,,,
Total API Cost,=B30+B31,=C30+C31,=D30+D31,=E30+E31,,,,,
,,,,,,,,,
ASSUMPTIONS & CONSTANTS,,,,,,,,,
API Cost Per User (14-day),"$3.50",,,,,,,
Pro Monthly Price,$20,,,,,,,
Pro Annual Value,=B35*12,,,,,,,
LTV (36 months),=B35*30,,,,,,,
Avg Generations (14-day),70,,,,,,,
Trial Monthly Limit,200,,,,,,,
Trial Daily Limit,50,,,,,,,
,,,,,,,,,
CHURN & RETENTION,,,,,,,,,
Annual Churn Rate,20%,,,,,,,
Avg Customer Lifetime (mo),30,,,,,,,
,,,,,,,,,
UNIT ECONOMICS ANALYSIS,,,,,,,,,
Metric,Conservative,Baseline,Growth,Aggressive,Target,Status,,,
Total Investment,=B32,=C32,=D32,=E32,,,,
Paid Conversions,=E8,=E9,=E10,=E11,,,,
CAC (Customer Acq Cost),=B49/B50,=C49/C50,=D49/D50,=E49/E50,<$100,"=IF(B51<100,""✅ PASS"",""⚠️ REVIEW"")",,,
LTV (Lifetime Value),"$600","$600","$600","$600",>$200,✅ PASS,,,
LTV:CAC Ratio,=B52/B51,=C52/C51,=D52/D51,=E52/E51,>3,"=IF(B53>3,""✅ PASS"",""❌ FAIL"")",,,
Year 1 Revenue,=F8,=F9,=F10,=F11,,,,
Gross Profit (Y1),=G8,=G9,=G10,=G11,,,,
ROI (Year 1),=H8,=H9,=H10,=H11,>200%,"=IF(B56>2,""✅ PASS"",""⚠️ REVIEW"")",,,
Payback Period (mo),=I8,=I9,=I10,=I11,<12,"=IF(B57<12,""✅ PASS"",""❌ FAIL"")",,,
,,,,,,,,,
3-YEAR PROJECTIONS,,,,,,,,,
Metric,Conservative,Baseline,Growth,Aggressive,,,,,
Total LTV (cohort),=B50*B52,=C50*C52,=D50*D52,=E50*E52,,,,,
Total Profit (36mo),=B61-B49,=C61-C49,=D61-D49,=E61-E49,,,,,
3-Year ROI,=B62/B49,=C62/C49,=D62/D49,=E62/E49,,,,,
,,,,,,,,,
SENSITIVITY ANALYSIS - BASELINE SCENARIO (14-DAY TRIAL),,,,,,,,,
Variable,-20%,Base,+20%,Impact,,,,,
Conversion Rate,9.6%,12.0%,14.4%,High,,,,,
  Conversions,=ROUND(100*B68,0),=ROUND(100*C68,0),=ROUND(100*D68,0),,,,,,
  Revenue,=B69*$B$35*12*(1-$B$43),=C69*$B$35*12*(1-$B$43),=D69*$B$35*12*(1-$B$43),,,,,,
  ROI,=(B70-350)/350,=(C70-350)/350,=(D70-350)/350,,,,,,
,,,,,,,,,
API Cost Per User,"$2.80","$3.50","$4.20",Medium,,,,,
  Total Cost,=100*B73,=100*C73,=100*D73,,,,,,
  Revenue,"$2,880","$2,880","$2,880",,,,,,
  ROI,=(B75-B74)/B74,=(C75-C74)/C74,=(D75-D74)/D74,,,,,,
,,,,,,,,,
Monthly Price,$16,$20,$24,High,,,,,
  Revenue,=12*B78*12*(1-$B$43),=12*C78*12*(1-$B$43),=12*D78*12*(1-$B$43),,,,,,
  ROI,=(B79-350)/350,=(C79-350)/350,=(D79-350)/350,,,,,,
,,,,,,,,,
Churn Rate,16%,20%,24%,Medium,,,,,
  Net Multiplier,=1-B82,=1-C82,=1-D82,,,,,,
  Revenue,=12*$B$35*12*B83,=12*$B$35*12*C83,=12*$B$35*12*D83,,,,,,
  ROI,=(B84-350)/350,=(C84-350)/350,=(D84-350)/350,,,,,,
,,,,,,,,,
RISK ANALYSIS,,,,,,,,,
Scenario,Revenue,Cost,Profit,ROI,,,,,
Worst Case (all -20%),=ROUND(12*0.8,0)*16*12*(1-0.24),=100*4.2,=B89-C89,=D89/C89,,,,,
Base Case,"$2,880","$350",=B90-C90,=D90/C90,,,,,
Best Case (all +20%),=ROUND(12*1.2,0)*24*12*(1-0.16),=100*2.8,=B91-C91,=D91/C91,,,,,